Configuration,Measured-Resistance,Expected Resistance,Pass/Fail
J1-1-J7-J3-1-J6,3.5228215,N/A,PASS
J1-1-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-1-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-2-J6,3.45865453,N/A,PASS
J1-2-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-2-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-3-J6,3.39929348,N/A,PASS
J1-3-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-3-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-4-J6,9.9e+37,N/A,FAIL
J1-4-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-4-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-5-J6,3.6859699,N/A,PASS
J1-5-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-5-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-6-J6,3.85240855,N/A,PASS
J1-6-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-6-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-7-J6,10.9744031,N/A,FAIL
J1-7-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-7-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-8-J7-J3-8-J6,4.07212802,N/A,PASS
J1-8-J7-J3-9-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-1-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-2-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-3-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-4-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-5-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-6-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-7-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-8-J6,9.9e+37,N/A,PASS
J1-9-J7-J3-9-J6,2.80945018,N/A,PASS
Cable Status,FAIL
Total Time Elapsed,125.17854309082031
